This is a test battery for tadmiss ran at 19-03-2024
Test description: Running brute force parallel (adjacency list)
Computational environment:  Common KVM processor with 4 GB of RAM running in Current operational system information: posix.uname_result(sysname='Linux', nodename='labic-vm-test', release='5.15.0-100-generic', version='#110-Ubuntu SMP Wed Feb 7 13:27:48 UTC 2024', machine='x86_64')
Original binary file name: app_BF-ADJACENCY
Default arguments given: " "
Default number of independent runs: 1 -- Default timelimit in seconds for each run: 21600 -- Default starting seed: 0
Amount of instances in this test battery: 206
Details about each failed run, overriden arguments, or repeated instances should be seen in the respective log file. You may also use the original json archived here for this same purpose.

+---------------------------+----------------------+-----------------------+------------------------------------------+---------------------------------------+---------+--------+-------------+-------------+
|       Instance Name       |        Subdir        | #Successes/#TotalRuns | Avg running time (s) (MIN/MAX) [std_dev] | Avg stretch index (MIN/MAX) [std_dev] | #Vertex | #Edges | Lower Bound | Total trees |
| !+jupiter/graph_66.txt   | jupiter/graph_66/   |          1/1          |      123.614 (123.614/123.614) [0]       |              3 (3/3) [0]              |    12   |   36   |      2      |   34063491  |
| !+jupiter/graph_69.txt   | jupiter/graph_69/   |          1/1          |      38.0168 (38.0168/38.0168) [0]       |              3 (3/3) [0]              |    12   |   33   |      2      |   11339440  |
| !+jupiter/graph_72.txt   | jupiter/graph_72/   |          1/1          |      252.126 (252.126/252.126) [0]       |              3 (3/3) [0]              |    12   |   38   |      2      |   68038584  |
| !+jupiter/graph_74.txt   | jupiter/graph_74/   |          1/1          |      7.63963 (7.63963/7.63963) [0]       |              3 (3/3) [0]              |    12   |   35   |      3      |   4117180   |
| !+jupiter/graph_81.txt   | jupiter/graph_81/   |          1/1          |      24.4394 (24.4394/24.4394) [0]       |              3 (3/3) [0]              |    12   |   33   |      2      |   6953850   |
| !+jupiter/graph_89.txt   | jupiter/graph_89/   |          1/1          |      27.8206 (27.8206/27.8206) [0]       |              3 (3/3) [0]              |    12   |   34   |      2      |   13305739  |
| !+jupiter/graph_93.txt   | jupiter/graph_93/   |          1/1          |      132.697 (132.697/132.697) [0]       |              3 (3/3) [0]              |    12   |   37   |      2      |   39814272  |
| !+jupiter/graph_96.txt   | jupiter/graph_96/   |          1/1          |      34.8764 (34.8764/34.8764) [0]       |              3 (3/3) [0]              |    12   |   35   |      2      |   15257970  |
| !+jupiter/graph_97.txt   | jupiter/graph_97/   |          1/1          |     0.725254 (0.725254/0.725254) [0]     |              3 (3/3) [0]              |    12   |   33   |      3      |    438903   |
| !+jupiter/graph_102.txt  | jupiter/graph_102/  |          1/1          |      2162.74 (2162.74/2162.74) [0]       |              2 (2/2) [0]              |    12   |   47   |      2      |  654772979  |
| !+jupiter/graph_103.txt  | jupiter/graph_103/  |          1/1          |      952.815 (952.815/952.815) [0]       |              2 (2/2) [0]              |    12   |   44   |      2      |  294623252  |
| !+jupiter/graph_104.txt  | jupiter/graph_104/  |          1/1          |      122.868 (122.868/122.868) [0]       |              3 (3/3) [0]              |    12   |   37   |      2      |   39095696  |
| !+jupiter/graph_105.txt  | jupiter/graph_105/  |          1/1          |      5.99406 (5.99406/5.99406) [0]       |              3 (3/3) [0]              |    12   |   40   |      3      |   2949056   |
| !+jupiter/graph_106.txt  | jupiter/graph_106/  |          1/1          |      0.00141 (0.00141/0.00141) [0]       |              2 (2/2) [0]              |    12   |   49   |      2      |      2      |
| !+jupiter/graph_107.txt  | jupiter/graph_107/  |          1/1          |      3165.51 (3165.51/3165.51) [0]       |              3 (3/3) [0]              |    12   |   47   |      2      |  977113220  |
| !+jupiter/graph_108.txt  | jupiter/graph_108/  |          1/1          |      3456.89 (3456.89/3456.89) [0]       |              3 (3/3) [0]              |    12   |   47   |      2      |  940628983  |
| !+jupiter/graph_109.txt  | jupiter/graph_109/  |          1/1          |      9301.61 (9301.61/9301.61) [0]       |              2 (2/2) [0]              |    12   |   56   |      2      |  3256127272 |
| !+jupiter/graph_110.txt  | jupiter/graph_110/  |          1/1          |      143.631 (143.631/143.631) [0]       |              3 (3/3) [0]              |    12   |   38   |      2      |   64166491  |
| !+jupiter/graph_111.txt  | jupiter/graph_111/  |          1/1          |      8123.34 (8123.34/8123.34) [0]       |              2 (2/2) [0]              |    12   |   50   |      2      |  2200493753 |
| !+jupiter/graph_114.txt  | jupiter/graph_114/  |          1/1          |        3911.1 (3911.1/3911.1) [0]        |              2 (2/2) [0]              |    12   |   48   |      2      |  1222297782 |
| !+jupiter/graph_115.txt  | jupiter/graph_115/  |          1/1          |      8981.27 (8981.27/8981.27) [0]       |              2 (2/2) [0]              |    12   |   55   |      2      |  3150538118 |
| !+jupiter/graph_118.txt  | jupiter/graph_118/  |          1/1          |      83.9208 (83.9208/83.9208) [0]       |              3 (3/3) [0]              |    12   |   37   |      2      |   36922510  |
| !+jupiter/graph_120.txt  | jupiter/graph_120/  |          1/1          |      543.192 (543.192/543.192) [0]       |              3 (3/3) [0]              |    12   |   41   |      2      |  140546328  |
| !+jupiter/graph_121.txt  | jupiter/graph_121/  |          1/1          |      1.73488 (1.73488/1.73488) [0]       |              3 (3/3) [0]              |    12   |   36   |      3      |    832209   |
| !+jupiter/graph_126.txt  | jupiter/graph_126/  |          1/1          |      110.302 (110.302/110.302) [0]       |              2 (2/2) [0]              |    12   |   42   |      2      |   49387319  |
| !+jupiter/graph_129.txt  | jupiter/graph_129/  |          1/1          |      381.962 (381.962/381.962) [0]       |              3 (3/3) [0]              |    12   |   40   |      2      |   87979540  |
| !+jupiter/graph_134.txt  | jupiter/graph_134/  |          1/1          |      2.08529 (2.08529/2.08529) [0]       |              3 (3/3) [0]              |    12   |   34   |      3      |   1222807   |
| !+jupiter/graph_136.txt  | jupiter/graph_136/  |          1/1          |      428.998 (428.998/428.998) [0]       |              3 (3/3) [0]              |    12   |   41   |      2      |  131661216  |
| !+jupiter/graph_137.txt  | jupiter/graph_137/  |          1/1          |        2941.6 (2941.6/2941.6) [0]        |              3 (3/3) [0]              |    12   |   47   |      2      |  834571980  |
| !+jupiter/graph_138.txt  | jupiter/graph_138/  |          1/1          |      258.242 (258.242/258.242) [0]       |              3 (3/3) [0]              |    12   |   40   |      2      |  114974100  |
| !+jupiter/graph_139.txt  | jupiter/graph_139/  |          1/1          |      2676.82 (2676.82/2676.82) [0]       |              3 (3/3) [0]              |    12   |   46   |      2      |  700427319  |
| !+jupiter/graph_140.txt  | jupiter/graph_140/  |          1/1          |     0.761049 (0.761049/0.761049) [0]     |              3 (3/3) [0]              |    12   |   35   |      3      |    424424   |
| !+jupiter/graph_141.txt  | jupiter/graph_141/  |          1/1          |      8256.48 (8256.48/8256.48) [0]       |              2 (2/2) [0]              |    12   |   53   |      2      |  3029257276 |
| !+jupiter/graph_142.txt  | jupiter/graph_142/  |          1/1          |      1.34703 (1.34703/1.34703) [0]       |              3 (3/3) [0]              |    12   |   38   |      3      |    666345   |
| !+jupiter/graph_144.txt  | jupiter/graph_144/  |          1/1          |      290.663 (290.663/290.663) [0]       |              3 (3/3) [0]              |    12   |   39   |      2      |   94529088  |
| !+jupiter/graph_145.txt  | jupiter/graph_145/  |          1/1          |      24.4215 (24.4215/24.4215) [0]       |              3 (3/3) [0]              |    12   |   35   |      2      |   7743555   |
| !+jupiter/graph_147.txt  | jupiter/graph_147/  |          1/1          |      85.9577 (85.9577/85.9577) [0]       |              3 (3/3) [0]              |    12   |   37   |      2      |   35089227  |
| !+jupiter/graph_150.txt  | jupiter/graph_150/  |          1/1          |      2498.76 (2498.76/2498.76) [0]       |              2 (2/2) [0]              |    12   |   50   |      2      |  965399726  |
| !+jupiter/graph_152.txt  | jupiter/graph_152/  |          1/1          |      1.65301 (1.65301/1.65301) [0]       |              3 (3/3) [0]              |    12   |   34   |      3      |    774843   |
| !+jupiter/graph_153.txt  | jupiter/graph_153/  |          1/1          |      2653.76 (2653.76/2653.76) [0]       |              2 (2/2) [0]              |    12   |   51   |      2      |  1010111273 |
| !+jupiter/graph_154.txt  | jupiter/graph_154/  |          1/1          |      2205.71 (2205.71/2205.71) [0]       |              3 (3/3) [0]              |    12   |   46   |      2      |  662767799  |
| !+jupiter/graph_157.txt  | jupiter/graph_157/  |          1/1          |      1485.87 (1485.87/1485.87) [0]       |              3 (3/3) [0]              |    12   |   45   |      2      |  446750936  |
| !+jupiter/graph_159.txt  | jupiter/graph_159/  |          1/1          |      443.818 (443.818/443.818) [0]       |              3 (3/3) [0]              |    12   |   41   |      2      |  166461824  |
| !+jupiter/graph_160.txt  | jupiter/graph_160/  |          1/1          |      298.753 (298.753/298.753) [0]       |              3 (3/3) [0]              |    12   |   38   |      2      |   47281488  |
| !+jupiter/graph_161.txt  | jupiter/graph_161/  |          1/1          |     0.000781 (0.000781/0.000781) [0]     |              2 (2/2) [0]              |    12   |   45   |      2      |      4      |
| !+jupiter/graph_164.txt  | jupiter/graph_164/  |          1/1          |      2.33152 (2.33152/2.33152) [0]       |              3 (3/3) [0]              |    12   |   35   |      3      |   1378155   |
| !+jupiter/graph_166.txt  | jupiter/graph_166/  |          1/1          |        909.79 (909.79/909.79) [0]        |              3 (3/3) [0]              |    12   |   43   |      2      |  290944287  |
| !+jupiter/graph_167.txt  | jupiter/graph_167/  |          1/1          |      2525.94 (2525.94/2525.94) [0]       |              3 (3/3) [0]              |    12   |   46   |      2      |  622185620  |
| !+jupiter/graph_169.txt  | jupiter/graph_169/  |          1/1          |      217.977 (217.977/217.977) [0]       |              3 (3/3) [0]              |    12   |   39   |      2      |   66771773  |
| !+jupiter/graph_170.txt  | jupiter/graph_170/  |          1/1          |      35.9158 (35.9158/35.9158) [0]       |              3 (3/3) [0]              |    12   |   34   |      2      |   10106786  |
| !+jupiter/graph_172.txt  | jupiter/graph_172/  |          1/1          |      588.136 (588.136/588.136) [0]       |              3 (3/3) [0]              |    12   |   42   |      2      |  171512504  |
| !+jupiter/graph_173.txt  | jupiter/graph_173/  |          1/1          |      0.01004 (0.01004/0.01004) [0]       |              3 (3/3) [0]              |    12   |   35   |      3      |     5334    |
| !+jupiter/graph_174.txt  | jupiter/graph_174/  |          1/1          |      1772.26 (1772.26/1772.26) [0]       |              2 (2/2) [0]              |    12   |   52   |      2      |  651748537  |
| !+jupiter/graph_176.txt  | jupiter/graph_176/  |          1/1          |      251.116 (251.116/251.116) [0]       |              3 (3/3) [0]              |    12   |   38   |      2      |   69191318  |
| !+jupiter/graph_177.txt  | jupiter/graph_177/  |          1/1          |        800.39 (800.39/800.39) [0]        |              2 (2/2) [0]              |    12   |   48   |      2      |  323972607  |
| !+jupiter/graph_178.txt  | jupiter/graph_178/  |          1/1          |      39.2717 (39.2717/39.2717) [0]       |              3 (3/3) [0]              |    12   |   34   |      2      |   13510720  |
| !+jupiter/graph_179.txt  | jupiter/graph_179/  |          1/1          |      2757.99 (2757.99/2757.99) [0]       |              3 (3/3) [0]              |    12   |   46   |      2      |  708434496  |
| !+jupiter/graph_182.txt  | jupiter/graph_182/  |          1/1          |     0.021409 (0.021409/0.021409) [0]     |              3 (3/3) [0]              |    12   |   38   |      3      |     7414    |
| !+jupiter/graph_212.txt  | jupiter/graph_212/  |          1/1          |      99.6144 (99.6144/99.6144) [0]       |              3 (3/3) [0]              |    12   |   36   |      2      |   30616668  |
| !+jupiter/graph_217.txt  | jupiter/graph_217/  |          1/1          |      155.226 (155.226/155.226) [0]       |              3 (3/3) [0]              |    12   |   37   |      2      |   38366182  |
| !+jupiter/graph_227.txt  | jupiter/graph_227/  |          1/1          |      1153.61 (1153.61/1153.61) [0]       |              2 (2/2) [0]              |    12   |   43   |      2      |  336523592  |
| !+jupiter/graph_229.txt  | jupiter/graph_229/  |          1/1          |      112.262 (112.262/112.262) [0]       |              3 (3/3) [0]              |    12   |   36   |      2      |   29986699  |
| !+jupiter/graph_233.txt  | jupiter/graph_233/  |          1/1          |      1643.68 (1643.68/1643.68) [0]       |              3 (3/3) [0]              |    12   |   44   |      2      |  455843041  |
| !+jupiter/graph_237.txt  | jupiter/graph_237/  |          1/1          |     0.000718 (0.000718/0.000718) [0]     |              3 (3/3) [0]              |    12   |   34   |      3      |      4      |
| !+jupiter/graph_241.txt  | jupiter/graph_241/  |          1/1          |      22.9908 (22.9908/22.9908) [0]       |              3 (3/3) [0]              |    12   |   33   |      2      |   8913292   |
| !+jupiter/graph_244.txt  | jupiter/graph_244/  |          1/1          |      86.8158 (86.8158/86.8158) [0]       |              3 (3/3) [0]              |    12   |   36   |      2      |   21124566  |
| !+jupiter/graph_255.txt  | jupiter/graph_255/  |          1/1          |        0.0008 (0.0008/0.0008) [0]        |              3 (3/3) [0]              |    12   |   33   |      3      |      3      |
| !+jupiter/graph_260.txt  | jupiter/graph_260/  |          1/1          |      32.5615 (32.5615/32.5615) [0]       |              3 (3/3) [0]              |    12   |   33   |      2      |   10567308  |
| !+jupiter/graph_266.txt  | jupiter/graph_266/  |          1/1          |      67.1077 (67.1077/67.1077) [0]       |              3 (3/3) [0]              |    12   |   36   |      2      |   30487816  |
| !+jupiter/graph_271.txt  | jupiter/graph_271/  |          1/1          |      4563.31 (4563.31/4563.31) [0]       |              3 (3/3) [0]              |    12   |   48   |      2      |  1083662400 |
| !+jupiter/graph_279.txt  | jupiter/graph_279/  |          1/1          |      39.0886 (39.0886/39.0886) [0]       |              3 (3/3) [0]              |    12   |   34   |      2      |   12224862  |
| !+jupiter/graph_285.txt  | jupiter/graph_285/  |          1/1          |     0.094123 (0.094123/0.094123) [0]     |              3 (3/3) [0]              |    12   |   34   |      3      |    46829    |
| !+jupiter/graph_288.txt  | jupiter/graph_288/  |          1/1          |      65.4249 (65.4249/65.4249) [0]       |              3 (3/3) [0]              |    12   |   35   |      2      |   21063125  |
| !+jupiter/graph_293.txt  | jupiter/graph_293/  |          1/1          |      37.1965 (37.1965/37.1965) [0]       |              3 (3/3) [0]              |    12   |   34   |      2      |   13145228  |
| !+jupiter/graph_297.txt  | jupiter/graph_297/  |          1/1          |      249.229 (249.229/249.229) [0]       |              2 (2/2) [0]              |    12   |   42   |      2      |  107121758  |
| !+jupiter/graph_298.txt  | jupiter/graph_298/  |          1/1          |      10.9155 (10.9155/10.9155) [0]       |              3 (3/3) [0]              |    12   |   36   |      3      |   5512678   |
| !+jupiter/graph_311.txt  | jupiter/graph_311/  |          1/1          |        3.9993 (3.9993/3.9993) [0]        |              3 (3/3) [0]              |    12   |   36   |      3      |   2199374   |
| !+jupiter/graph_316.txt  | jupiter/graph_316/  |          1/1          |      60.0856 (60.0856/60.0856) [0]       |              3 (3/3) [0]              |    12   |   35   |      2      |   19288774  |
| !+jupiter/graph_318.txt  | jupiter/graph_318/  |          1/1          |      22.8638 (22.8638/22.8638) [0]       |              3 (3/3) [0]              |    12   |   34   |      2      |   8632397   |
| !+jupiter/graph_319.txt  | jupiter/graph_319/  |          1/1          |      37.9849 (37.9849/37.9849) [0]       |              3 (3/3) [0]              |    12   |   34   |      2      |   11875601  |
| !+jupiter/graph_321.txt  | jupiter/graph_321/  |          1/1          |     0.153156 (0.153156/0.153156) [0]     |              3 (3/3) [0]              |    12   |   34   |      3      |    91063    |
| !+jupiter/graph_332.txt  | jupiter/graph_332/  |          1/1          |      44.2129 (44.2129/44.2129) [0]       |              3 (3/3) [0]              |    12   |   35   |      2      |   7342172   |
| !+jupiter/graph_336.txt  | jupiter/graph_336/  |          1/1          |     0.698019 (0.698019/0.698019) [0]     |              3 (3/3) [0]              |    12   |   34   |      3      |    383876   |
| !+jupiter/graph_345.txt  | jupiter/graph_345/  |          1/1          |      47.5726 (47.5726/47.5726) [0]       |              3 (3/3) [0]              |    12   |   35   |      2      |   17234724  |
| !+jupiter/graph_356.txt  | jupiter/graph_356/  |          1/1          |     0.116709 (0.116709/0.116709) [0]     |              3 (3/3) [0]              |    12   |   34   |      3      |    64736    |
| !+jupiter/graph_367.txt  | jupiter/graph_367/  |          1/1          |      26.8544 (26.8544/26.8544) [0]       |              3 (3/3) [0]              |    12   |   33   |      2      |   9169623   |
| !+jupiter/graph_368.txt  | jupiter/graph_368/  |          1/1          |        31.736 (31.736/31.736) [0]        |              3 (3/3) [0]              |    12   |   34   |      2      |   11720382  |
| !+jupiter/graph_408.txt  | jupiter/graph_408/  |          1/1          |      85.2634 (85.2634/85.2634) [0]       |              3 (3/3) [0]              |    12   |   36   |      2      |   26625882  |
| !+jupiter/graph_409.txt  | jupiter/graph_409/  |          1/1          |      67.6571 (67.6571/67.6571) [0]       |              3 (3/3) [0]              |    12   |   34   |      2      |   17837904  |
| !+jupiter/graph_412.txt  | jupiter/graph_412/  |          1/1          |      56.9734 (56.9734/56.9734) [0]       |              3 (3/3) [0]              |    12   |   35   |      2      |   19690651  |
| !+jupiter/graph_418.txt  | jupiter/graph_418/  |          1/1          |      59.2666 (59.2666/59.2666) [0]       |              3 (3/3) [0]              |    12   |   36   |      2      |   22091204  |
| !+jupiter/graph_435.txt  | jupiter/graph_435/  |          1/1          |      0.00172 (0.00172/0.00172) [0]       |              3 (3/3) [0]              |    12   |   33   |      3      |     213     |
| !+jupiter/graph_442.txt  | jupiter/graph_442/  |          1/1          |      48.8783 (48.8783/48.8783) [0]       |              3 (3/3) [0]              |    12   |   35   |      2      |   16285369  |
| !+jupiter/graph_445.txt  | jupiter/graph_445/  |          1/1          |      81.7247 (81.7247/81.7247) [0]       |              3 (3/3) [0]              |    12   |   36   |      2      |   26137272  |
| !+jupiter/graph_447.txt  | jupiter/graph_447/  |          1/1          |      63.2917 (63.2917/63.2917) [0]       |              3 (3/3) [0]              |    12   |   35   |      2      |   18410244  |
| !+jupiter/graph_448.txt  | jupiter/graph_448/  |          1/1          |      70.0438 (70.0438/70.0438) [0]       |              3 (3/3) [0]              |    12   |   36   |      2      |   27857560  |
| !+jupiter/graph_476.txt  | jupiter/graph_476/  |          1/1          |      76.5331 (76.5331/76.5331) [0]       |              3 (3/3) [0]              |    12   |   36   |      2      |   26828075  |
| !+jupiter/graph_483.txt  | jupiter/graph_483/  |          1/1          |      0.08316 (0.08316/0.08316) [0]       |              3 (3/3) [0]              |    12   |   36   |      3      |    43583    |
| !+jupiter/graph_485.txt  | jupiter/graph_485/  |          1/1          |      25.8152 (25.8152/25.8152) [0]       |              3 (3/3) [0]              |    12   |   34   |      2      |   11272267  |
| !+jupiter/graph_505.txt  | jupiter/graph_505/  |          1/1          |      34.6816 (34.6816/34.6816) [0]       |              3 (3/3) [0]              |    12   |   34   |      2      |   16937288  |
| !+jupiter/graph_506.txt  | jupiter/graph_506/  |          1/1          |     0.253909 (0.253909/0.253909) [0]     |              3 (3/3) [0]              |    12   |   37   |      3      |    132112   |
| !+jupiter/graph_508.txt  | jupiter/graph_508/  |          1/1          |      90.4222 (90.4222/90.4222) [0]       |              3 (3/3) [0]              |    12   |   36   |      2      |   27283560  |
| !+jupiter/graph_521.txt  | jupiter/graph_521/  |          1/1          |     0.002251 (0.002251/0.002251) [0]     |              3 (3/3) [0]              |    12   |   36   |      3      |     1044    |
| !+jupiter/graph_528.txt  | jupiter/graph_528/  |          1/1          |      2.13238 (2.13238/2.13238) [0]       |              3 (3/3) [0]              |    12   |   33   |      3      |   1241271   |
| !+jupiter/graph_529.txt  | jupiter/graph_529/  |          1/1          |      156.285 (156.285/156.285) [0]       |              3 (3/3) [0]              |    12   |   38   |      2      |   44419968  |
| !+jupiter/graph_532.txt  | jupiter/graph_532/  |          1/1          |        1.4049 (1.4049/1.4049) [0]        |              3 (3/3) [0]              |    12   |   36   |      3      |    801542   |
| !+jupiter/graph_539.txt  | jupiter/graph_539/  |          1/1          |        23.523 (23.523/23.523) [0]        |              3 (3/3) [0]              |    12   |   33   |      2      |   9253745   |
| !+jupiter/graph_544.txt  | jupiter/graph_544/  |          1/1          |      22.9233 (22.9233/22.9233) [0]       |              3 (3/3) [0]              |    12   |   34   |      2      |   8713864   |
| !+jupiter/graph_551.txt  | jupiter/graph_551/  |          1/1          |      131.542 (131.542/131.542) [0]       |              3 (3/3) [0]              |    12   |   37   |      2      |   41851020  |
| !+jupiter/graph_555.txt  | jupiter/graph_555/  |          1/1          |      145.652 (145.652/145.652) [0]       |              3 (3/3) [0]              |    12   |   38   |      2      |   53356142  |
| !+jupiter/graph_557.txt  | jupiter/graph_557/  |          1/1          |      46.1082 (46.1082/46.1082) [0]       |              3 (3/3) [0]              |    12   |   35   |      2      |   18093285  |
| !+jupiter/graph_558.txt  | jupiter/graph_558/  |          1/1          |      123.882 (123.882/123.882) [0]       |              3 (3/3) [0]              |    12   |   37   |      2      |   37931202  |
| !+jupiter/graph_559.txt  | jupiter/graph_559/  |          1/1          |      103.634 (103.634/103.634) [0]       |              3 (3/3) [0]              |    12   |   37   |      2      |   37874027  |
| !+jupiter/graph_562.txt  | jupiter/graph_562/  |          1/1          |      43.3263 (43.3263/43.3263) [0]       |              3 (3/3) [0]              |    12   |   35   |      2      |   15522407  |
| !+jupiter/graph_566.txt  | jupiter/graph_566/  |          1/1          |        77.245 (77.245/77.245) [0]        |              3 (3/3) [0]              |    12   |   36   |      2      |   31970892  |
| !+jupiter/graph_571.txt  | jupiter/graph_571/  |          1/1          |      128.005 (128.005/128.005) [0]       |              3 (3/3) [0]              |    12   |   37   |      2      |   39332355  |
| !+jupiter/graph_593.txt  | jupiter/graph_593/  |          1/1          |      29.6192 (29.6192/29.6192) [0]       |              3 (3/3) [0]              |    12   |   34   |      2      |   11142110  |
| !+jupiter/graph_598.txt  | jupiter/graph_598/  |          1/1          |      81.1269 (81.1269/81.1269) [0]       |              3 (3/3) [0]              |    12   |   35   |      2      |   23019417  |
| !+jupiter/graph_604.txt  | jupiter/graph_604/  |          1/1          |     0.199506 (0.199506/0.199506) [0]     |              3 (3/3) [0]              |    12   |   36   |      3      |    103507   |
| !+jupiter/graph_606.txt  | jupiter/graph_606/  |          1/1          |      129.984 (129.984/129.984) [0]       |              3 (3/3) [0]              |    12   |   38   |      2      |   41663979  |
| !+jupiter/graph_609.txt  | jupiter/graph_609/  |          1/1          |      102.246 (102.246/102.246) [0]       |              3 (3/3) [0]              |    12   |   37   |      2      |   33413002  |
| !+jupiter/graph_611.txt  | jupiter/graph_611/  |          1/1          |      134.335 (134.335/134.335) [0]       |              3 (3/3) [0]              |    12   |   37   |      2      |   42035295  |
| !+jupiter/graph_612.txt  | jupiter/graph_612/  |          1/1          |      82.8667 (82.8667/82.8667) [0]       |              3 (3/3) [0]              |    12   |   35   |      2      |   23895827  |
| !+jupiter/graph_613.txt  | jupiter/graph_613/  |          1/1          |      172.087 (172.087/172.087) [0]       |              3 (3/3) [0]              |    12   |   38   |      2      |   42504800  |
| !+jupiter/graph_616.txt  | jupiter/graph_616/  |          1/1          |      27.6115 (27.6115/27.6115) [0]       |              3 (3/3) [0]              |    12   |   34   |      2      |   10830059  |
| !+jupiter/graph_617.txt  | jupiter/graph_617/  |          1/1          |      8.37607 (8.37607/8.37607) [0]       |              3 (3/3) [0]              |    12   |   33   |      3      |   4491958   |
| !+jupiter/graph_621.txt  | jupiter/graph_621/  |          1/1          |      48.7362 (48.7362/48.7362) [0]       |              3 (3/3) [0]              |    12   |   35   |      2      |   20037422  |
| !+jupiter/graph_622.txt  | jupiter/graph_622/  |          1/1          |      36.3025 (36.3025/36.3025) [0]       |              2 (2/2) [0]              |    12   |   36   |      2      |   19653209  |
| !+jupiter/graph_624.txt  | jupiter/graph_624/  |          1/1          |      2.11549 (2.11549/2.11549) [0]       |              3 (3/3) [0]              |    12   |   34   |      3      |   1208819   |
| !+jupiter/graph_625.txt  | jupiter/graph_625/  |          1/1          |      93.8011 (93.8011/93.8011) [0]       |              3 (3/3) [0]              |    12   |   36   |      2      |   29605740  |
| !+jupiter/graph_626.txt  | jupiter/graph_626/  |          1/1          |      113.946 (113.946/113.946) [0]       |              3 (3/3) [0]              |    12   |   37   |      2      |   41539650  |
| !+jupiter/graph_628.txt  | jupiter/graph_628/  |          1/1          |      43.6852 (43.6852/43.6852) [0]       |              3 (3/3) [0]              |    12   |   35   |      2      |   15965845  |
